North America,Europe,Japan,Rest of World,Global,Genre
48.15,57.51,10.27,20.76,136.82,Action
50.5,58.64,4.42,21.48,134.99,Shooter
33.31,42.81,1.83,14.9,92.85,Sports
22.15,22.4,9.33,8.91,62.73,Role-Playing
22.3,27.79,1.96,9.83,61.86,Action-Adventure
5.86,14.77,0.76,3.81,25.29,Racing
8.58,6.11,1.67,2.97,19.36,Fighting
5.48,8.92,0.67,2.77,17.85,Platform
5.2700000000000005,6.08,1.6400000000000001,2.23,15.22,Adventure
3.64,6.029999999999999,0.96,1.85,12.47,Misc
2.4,1.62,0.17,0.8400000000000001,5.03,Music
1.47,2.07,0.28,0.7100000000000001,4.52,Simulation
1.32,1.45,0.2,0.55,3.52,MMO
0.57,0.22,0.33999999999999997,0.17,1.28,Strategy
0.09,0.47,0.0,0.09999999999999999,0.65,Party
0.28,0.16,0.0,0.1,0.52,Puzzle
0.2,0.02,0.19,0.05,0.46,Visual Novel
