Pos,North America,Europe,Japan,Rest of World,Global,Genre
11657,57.34,26.18,0.2,8.52,92.21,Shooter
32868,30.56,15.23,0.08,4.58,50.51,Action
12185,25.61,12.91,0.02,3.86,42.43,Sports
11230,8.5,7.91,0.09,1.52,17.97,Racing
5510,10.43,5.49,0.01,1.58,17.47,Action-Adventure
10675,9.9,4.680000000000001,0.04,1.46,16.06,Role-Playing
10706,5.24,2.85,0.01,0.8,8.889999999999999,Misc
2943,4.4,1.3,0.01,0.59,6.3,Fighting
12086,2.68,1.7,0.03,0.42,4.82,Adventure
2762,3.18,0.78,0.0,0.43,4.41,Music
5419,1.53,0.8,0.0,0.25,2.57,Platform
6085,1.52,0.7,0.0,0.22,2.5,Simulation
300,0.95,0.42000000000000004,0.0,0.14,1.52,MMO
5304,0.68,0.16999999999999998,0.0,0.09,0.93,Strategy
2022,0.16,0.04,0.0,0.03,0.23,Puzzle
922,0.0,0.0,0.02,0.0,0.02,Visual Novel
